Team Name,Team URL
Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats/
Lyon,https://fbref.com/en/squads/d53c0b06/Lyon-Stats/
Augsburg,https://fbref.com/en/squads/0cdc4311/Augsburg-Stats/
West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats/
Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats/
Como,https://fbref.com/en/squads/28c9c3cd/Como-Stats/
Sevilla,https://fbref.com/en/squads/ad2be733/Sevilla-Stats/
Girona,https://fbref.com/en/squads/9024a00a/Girona-Stats/
Espanyol,https://fbref.com/en/squads/a8661628/Espanyol-Stats/
Rennes,https://fbref.com/en/squads/b3072e00/Rennes-Stats/
Real Sociedad,https://fbref.com/en/squads/e31d1cd9/Real-Sociedad-Stats/
Gladbach,https://fbref.com/en/squads/32f3ee20/Monchengladbach-Stats/
Brest,https://fbref.com/en/squads/fb08dbb3/Brest-Stats/
Le Havre,https://fbref.com/en/squads/5c2737db/Le-Havre-Stats/
Saint-Étienne,https://fbref.com/en/squads/d298ef2c/Saint-Etienne-Stats/
Getafe,https://fbref.com/en/squads/7848bd64/Getafe-Stats/
Leganés,https://fbref.com/en/squads/7c6f2c78/Leganes-Stats/
Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats/
Auxerre,https://fbref.com/en/squads/5ae09109/Auxerre-Stats/
Parma,https://fbref.com/en/squads/eab4234c/Parma-Stats/
Cagliari,https://fbref.com/en/squads/c4260e09/Cagliari-Stats/
Toulouse,https://fbref.com/en/squads/3f8c4b5f/Toulouse-Stats/
Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats/
Lecce,https://fbref.com/en/squads/ffcbe334/Lecce-Stats/
Genoa,https://fbref.com/en/squads/658bf2de/Genoa-Stats/
St. Pauli,https://fbref.com/en/squads/54864664/St-Pauli-Stats/
Valencia,https://fbref.com/en/squads/dcc91a7b/Valencia-Stats/
Montpellier,https://fbref.com/en/squads/281b0e73/Montpellier-Stats/
Hoffenheim,https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats/
Venezia,https://fbref.com/en/squads/af5d5982/Venezia-Stats/
Ipswich Town,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats/
Valladolid,https://fbref.com/en/squads/17859612/Valladolid-Stats/
Monza,https://fbref.com/en/squads/21680aa4/Monza-Stats/
Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats/
Angers,https://fbref.com/en/squads/69236f98/Angers-Stats/
Las Palmas,https://fbref.com/en/squads/0049d422/Las-Palmas-Stats/
Holstein Kiel,https://fbref.com/en/squads/2ac661d9/Holstein-Kiel-Stats/
Bochum,https://fbref.com/en/squads/b42c6323/Bochum-Stats/
Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats/
Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats/
