player_name,Position,Age
Noah Okafor,LW,24
Samuel Chukwueze,RW,25
Davide Calabria,RB,27
Yunus Musah,CM,21
Alexis Saelemaekers,RW,25
Alexis Saelemaekers,RW,25
Filippo Terracciano,RB,21
Malick Thiaw,CB,23
Luka Jović,CF,26
Ismaël Bennacer,DM,26
Jonathan Tah,CB,28
Granit Xhaka,DM,32
Grimaldo,LB,29
Florian Wirtz,AM,21
Edmond Tapsoba,CB,25
Victor Boniface,CF,23
Piero Hincapié,CB,22
Jeremie Frimpong,RM,23
Robert Andrich,DM,30
Martin Terrier,LW,27
Aleix García,CM,27
Jonas Hofmann,AM,32
Amine Adli,LW,24
Patrik Schick,CF,28
Nathan Tella,RM,25
Exequiel Palacios,CM,26
Nordi Mukiele,RB,26
Jeanuël Belocian,CB,19
Odilon Kossounou,CB,23
Odilon Kossounou,CB,23
Emmanuel Agbadou,CB,27
Marshall Munetsi,CM,28
Junya Ito,RW,31
Valentin Atangana Edoa,CM,19
Oumar Diakité,CF,20
Keito Nakamura,LW,24
Yaya Kader Fofana,CM,20
Aurélio Buta,RB,27
Cédric Kipré,CB,27
Sergio Akieme,LB,26
Joseph Okumu,CB,27
Teddy Teuma,CM,31
Amadou Koné,CF,32
Amine Salama,CF,24
Reda Khadra,AM,23
Martin Adeline,CM,20
Mohammed Daramy,LW,22
Thibault De Smet,LB,26
Gabriel Moscardo,DM,19
Danilho Doekhi,CB,26
Rani Khedira,DM,30
Diogo Leite,CB,25
Kevin Vogt,CB,33
Benedict Hollerbach,CF,23
Tom Rothe,LB,20
András Schäfer,CM,25
Janik Haberer,CM,30
Jordan Pefok,CF,28
Jeong Woo-yeong,MO,25
Yorbe Vertessen,CF,23
Christopher Trimmel,RB,37
Lucas Tousart,DM,27
Tim Skarke,RW,28
László Bénes,CM,27
Robin Gosens,LB,30
Robin Gosens,LB,30
Aljoscha Kemlein,DM,20
Jérôme Roussillon,LB,31
Robert Skov,LM,28
Jonas Föhrenbach,LB,28
Benedikt Gimber,CB,27
Patrick Mainka,CB,29
Omar Traoré,RB,26
Paul Wanner,AM,18
Jan Schöppner,CM,25
Marvin Pieringer,CF,25
Lennard Maloney,DM,25
Marnon Busch,RB,29
Adrian Beck,AM,27
Mikkel Kaufmann,CF,23
Niklas Dorsch,DM,26
Mathias Honsak,LW,27
Sirlord Conteh,RW,28
Norman Theuerkauf,DM,37
Iñaki Williams,RW,30
Daniel Vivian,CB,25
Oihan Sancet,AM,24
Álex Berenguer,LW,29
Gorka Guruzeta,CF,28
Yuri Berchiche,LB,34
Aitor Paredes,CB,24
Beñat Prados,CM,23
Nico Williams,LW,22
Óscar de Marcos,RB,35
Mikel Jauregizar,CM,20
Yeray Álvarez,CB,29
Mikel Vesga,DM,31
Iñigo Lekue,RB,31
Iñigo Ruiz de Galarreta,CM,31
Unai Gómez,AM,21
Ander Herrera,CM,35
Álvaro djaló,LW,25
Andoni Gorosabel,RB,28
Unai Núñez,CB,27
Javi Martón,CF,25
Nicolás Serrano,LW,21
Dan Burn,CB,32
Bruno Guimarães,DM,26
Anthony Gordon,LW,23
Joelinton,CM,28
Jacob Murphy,RW,29
Alexander Isak,CF,25
Fabian Schär,CB,32
Lewis Hall,LB,20
Harvey Barnes,LW,26
Valentino Livramento,RB,21
Sean Longstaff,CM,27
Kieran Trippier,RB,34
Lloyd Kelly,CB,26
Emil Krafth,RB,30
Joe Willock,CM,25
Miguel Almirón,RW,30
William Osula,CF,21
Cristian Romero,CB,26
Pedro Porro,RB,25
Destiny Udogie,LB,21
James Maddison,AM,27
Micky van de Ven,CB,23
Dejan Kulusevski,AM,24
Brennan Johnson,RW,23
Son Heung-min,LW,32
Dominic Solanke,CF,27
Rodrigo Bentancur,DM,27
Pape Matar Sarr,CM,22
Timo Werner,LW,28
Yves Bissouma,DM,28
Wilson Odobert,RW,19
Radu Drăgușin,CB,22
Djed Spence,RB,24
Archie Gray,CM,18
Richarlison,CF,27
Ben Davies,CB,31
Alfie Devine,AM,20
Facundo Medina,CB,25
Adrien Thomasson,AM,30
Andy Diouf,CM,21
Jonathan Gradit,CB,31
Abdukodir Khusanov,CB,20
Florian Sotoca,CF,34
Jhoanner Chávez,LB,22
Wesley Saïd,CF,29
Przemysław Frankowski,RM,29
Ruben Aguilar,RB,31
Angelo Fulgini,AM,28
Anass Zaroury,AM,23
Rémy Labeau Lascary,CF,21
Deiver Machado,LB,31
M'Bala Nzola,CF,28
Kevin Danso,CB,26
David Costa,AM,23
Nampalys Mendy,DM,32
Martin Satriano,CF,23
Neil El Aynaoui,CM,23
Massadio Haïdara,LB,31
Massadio Haïdara,LB,31
Ardian Ismajli,CB,28
Mattia Viti,CB,22
Emmanuel Gyasi,LW,30
Giuseppe Pezzella,LB,26
Liam Henderson,CM,28
Lorenzo Colombo,CF,22
Sebastiano Esposito,SS,22
Saba Goglichidze,CB,20
Alberto Grassi,DM,29
Jacopo Fazzini,CM,21
Youssef Maleh,CM,26
Sebastian Walukiewicz,CB,24
Sebastian Walukiewicz,CB,24
Liberato Cacace,LB,24
Pietro Pellegri,CF,23
Pietro Pellegri,CF,23
Francesco Caputo,CF,37
Petar Stojanović,RB,29
Junior Sambia,RB,28
Mattéo Guendouzi,CM,25
Mattia Zaccagni,LW,29
Manuel Lazzari,RM,30
Alessio Romagnoli,CB,29
Valentín Castellanos,CF,26
Nicolò Rovella,DM,22
Nuno Tavares,LB,24
Boulaye Dia,CF,27
Mario Gila,CB,24
Gustav Isaksen,RW,23
Tijjani Noslin,RW,25
Adam Marušić,RB,32
Patric,DM,48
Nicolò Casale,CB,26
Nicolò Casale,CB,26
Matías Vecino,CM,33
Loum Tchaouna,RW,21
Gaetano Castrovilli,CM,27
Pedro,RW,37
Luca Pellegrini,LB,25
Elseid Hysaj,RB,30
Danilo Cataldi,DM,30
Danilo Cataldi,DM,30
Samuel Gigot,CB,31
Waldemar Anton,CB,28
Julian Ryerson,RB,26
Julian Brandt,AM,28
Pascal Groß,CM,33
Nico Schlotterbeck,CB,24
Emre Can,DM,30
Serhou Guirassy,CF,28
Niklas Süle,CB,29
Karim Adeyemi,LW,22
Marcel Sabitzer,CM,30
Jamie Gittens,LW,20
Yan Couto,RB,22
Maximilian Beier,CF,22
Donyell Malen,RW,25
Felix Nmecha,CM,24
Ramy Bensebaini,LB,29
Gio Reyna,AM,21
Sébastien Haller,CF,30
Sébastien Haller,CF,30
Lucas Torró,DM,30
Aimar Oroz,AM,22
Catena,CB,30
Jesús Areso,RB,25
Abel,LB,43
Ante Budimir,CF,33
Bryan Zaragoza,LW,23
Rubén García,RW,31
Enzo Boyomo,CB,23
Enzo Boyomo,CB,23
Jon Moncayola,CM,26
Jorge Herrando,CB,23
Moi Gómez,LW,30
Pablo Ibáñez,CB,43
Raúl,CB,39
Juan Cruz Armada,LB,32
Rubén Peña,RB,33
Nacho Vidal,RB,29
Iker Muñoz,DM,22
Iker Benito,RW,22
José Arnaiz,LW,29
Javi Martínez,DM,36
